id,instruction,response,test_list
1,প্রথম n সংখ্যার ক্ষুদ্রতম গুণিতক খুঁজে বের করার জন্য একটি ফাংশন লিখুন।,"def smallest_multiple(n):
    if (n<=2):
      return n
    i = n * 2
    factors = [number  for number in range(n, 1, -1) if number * 2 > n]
    while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i","""['assert smallest_multiple(13)==360360', 'assert smallest_multiple(2)==2', 'assert smallest_multiple(1)==1']"""
2,সাধারণ কীগুলির জন্য মান যোগ করে দুটি অভিধানকে একত্রিত করার জন্য একটি ফাংশন লিখুন।,"from collections import Counter
def add_dict(d1,d2):
   add_dict = Counter(d1) + Counter(d2)
   return add_dict","""[\""assert add_dict({'a': 100, 'b': 200, 'c':300},{'a': 300, 'b': 200, 'd':400})==({'b': 400, 'd': 400, 'a': 400, 'c': 300}) \"", \""assert add_dict({'a': 500, 'b': 700, 'c':900},{'a': 500, 'b': 600, 'd':900})==({'b': 1300, 'd': 900, 'a': 1000, 'c': 900}) \"", \""assert add_dict({'a':900,'b':900,'d':900},{'a':900,'b':900,'d':900})==({'b': 1800, 'd': 1800, 'a': 1800})\""]"""
3,১ থেকে এন পর্যন্ত মোট আনসেট বিট গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।,"def count_Unset_Bits(n) :  
    cnt = 0;  
    for i in range(1,n + 1) : 
        temp = i;  
        while (temp) :  
            if (temp % 2 == 0) : 
                cnt += 1;  
            temp = temp // 2;  
    return cnt;  ","""['assert count_Unset_Bits(2) == 1', 'assert count_Unset_Bits(5) == 4', 'assert count_Unset_Bits(14) == 17']"""
4,একটি ফাংশন লিখুন যা প্রদত্ত সংখ্যাটি এমনকি হলে সত্য ফেরত দেয় অন্যথায় মিথ্যা ফেরত দেয়।,"def even_num(x):
  if x%2==0:
     return True
  else:
    return False","""['assert even_num(13.5)==False', 'assert even_num(0)==True', 'assert even_num(-9)==False']"""
5,দ্বিপদী সহগগুলির বর্গক্ষেত্রের যোগফল খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।,"def factorial(start,end): 
    res = 1 
    for i in range(start,end + 1): 
        res *= i      
    return res 
def sum_of_square(n): 
   return int(factorial(n + 1, 2 * n)  /factorial(1, n)) ","""['assert sum_of_square(4) == 70', 'assert sum_of_square(5) == 252', 'assert sum_of_square(2) == 6']"""
6,"রেজেক্স ব্যবহার করে একটি ইউআরএল থেকে বছর, মাস এবং তারিখ বের করার জন্য একটি ফাংশন লিখুন।","import re
def extract_date(url):
        return re.findall(r'/(\d{4})/(\d{1,2})/(\d{1,2})/', url)","""['assert extract_date(\""https://www.washingtonpost.com/news/football-insider/wp/2016/09/02/odell-beckhams-fame-rests-on-one-stupid-little-ball-josh-norman-tells-author/\"") == [(\\'2016\\', \\'09\\', \\'02\\')]', 'assert extract_date(\""https://www.indiatoday.in/movies/celebrities/story/wp/2020/11/03/odeof-sushant-singh-rajput-s-death-his-brother-in-law-shares-advice-for-fans-1749646/\"") == [(\\'2020\\', \\'11\\', \\'03\\')]', 'assert extract_date(\""https://economictimes.indiatimes.com/news/economy/2020/12/29/finance/pension-assets-under-pfrda-touch-rs-5-32-lakh-crore/articleshow/79736619.cms\"") == [(\\'2020\\', \\'12\\', \\'29\\')]']"""
7,প্রথম n টি ভাগ্যবান সংখ্যা প্রিন্ট করার জন্য একটি ফাংশন লিখুন।,"def lucky_num(n):
 List=range(-1,n*n+9,2)
 i=2
 while List[i:]:List=sorted(set(List)-set(List[List[i]::List[i]]));i+=1
 return List[1:n+1]","""['assert lucky_num(10)==[1, 3, 7, 9, 13, 15, 21, 25, 31, 33] ', 'assert lucky_num(5)==[1, 3, 7, 9, 13]', 'assert lucky_num(8)==[1, 3, 7, 9, 13, 15, 21, 25]']"""
8,প্রদত্ত অ্যারেতে স্থির বিন্দু খুঁজে পেতে একটি ফাংশন লিখুন।,"def find_fixed_point(arr, n): 
	for i in range(n): 
		if arr[i] is i: 
			return i 
	return -1","""['assert find_fixed_point([-10, -1, 0, 3, 10, 11, 30, 50, 100],9) == 3', 'assert find_fixed_point([1, 2, 3, 4, 5, 6, 7, 8],8) == -1', 'assert find_fixed_point([0, 2, 5, 8, 17],5) == 0']"""
9,একটি নির্দিষ্ট সংখ্যার পূর্ববর্তী প্যালিনড্রোম খুঁজে পেতে একটি ফাংশন লিখুন।,"def previous_palindrome(num):
    for x in range(num-1,0,-1):
        if str(x) == str(x)[::-1]:
            return x","""['assert previous_palindrome(99)==88', 'assert previous_palindrome(1221)==1111', 'assert previous_palindrome(120)==111']"""
10,একটি গ্রেগরিয়ান তারিখ বৈধ করার জন্য একটি ফাংশন লিখুন।,"import datetime
def check_date(m, d, y):
    try:
        m, d, y = map(int, (m, d, y))
        datetime.date(y, m, d)
        return True
    except ValueError:
        return False","""['assert check_date(11,11,2002)==True', 'assert check_date(13,11,2002)==False', \""assert check_date('11','11','2002')==True\""]"""
11,হিপ ক্যু অ্যালগরিদম ব্যবহার করে পূর্ণসংখ্যার একটি অ্যারের তিনটি সংখ্যার সর্বোচ্চ উৎপাদনের জন্য একটি ফাংশন লিখুন।,"def maximum_product(nums):
    import heapq
    a, b = heapq.nlargest(3, nums), heapq.nsmallest(2, nums)
    return max(a[0] * a[1] * a[2], a[0] * b[0] * b[1])","""['assert maximum_product( [12, 74, 9, 50, 61, 41])==225700', 'assert maximum_product([25, 35, 22, 85, 14, 65, 75, 25, 58])==414375', 'assert maximum_product([18, 14, 10, 9, 8, 7, 9, 3, 2, 4, 1])==2520']"""
12,"ln, m lobb সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।","def binomial_coeff(n, k): 
	C = [[0 for j in range(k + 1)] 
			for i in range(n + 1)] 
	for i in range(0, n + 1): 
		for j in range(0, min(i, k) + 1): 
			if (j == 0 or j == i): 
				C[i][j] = 1
			else: 
				C[i][j] = (C[i - 1][j - 1] 
							+ C[i - 1][j]) 
	return C[n][k] 
def lobb_num(n, m): 
	return (((2 * m + 1) *
		binomial_coeff(2 * n, m + n)) 
					/ (m + n + 1))","""['assert int(lobb_num(5, 3)) == 35', 'assert int(lobb_num(3, 2)) == 5', 'assert int(lobb_num(4, 2)) == 20']"""
13,একটি স্ট্রিংয়ের শেষে একটি সংখ্যা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।,"import re
def end_num(string):
    text = re.compile(r"".*[0-9]$"")
    if text.match(string):
        return True
    else:
        return False","""[\""assert end_num('abcdef')==False\"", \""assert end_num('abcdef7')==True\"", \""assert end_num('abc')==False\""]"""
14,প্রদত্ত স্ট্রিং দুটি বিকল্প অক্ষর দিয়ে তৈরি কিনা তা পরীক্ষা করার জন্য একটি পাইথন ফাংশন লিখুন।,"def is_Two_Alter(s):  
    for i in range (len( s) - 2) : 
        if (s[i] != s[i + 2]) : 
            return False
    if (s[0] == s[1]): 
        return False
    return True","""['assert is_Two_Alter(\""abab\"") == True', 'assert is_Two_Alter(\""aaaa\"") == False', 'assert is_Two_Alter(\""xyz\"") == False']"""
15,ল্যাম্বদা ফাংশন ব্যবহার করে একটি প্রদত্ত অ্যারেতে ধনাত্মক এবং নেতিবাচক সংখ্যাগুলি পুনরায় সাজানোর জন্য একটি ফাংশন লিখুন।,"def rearrange_numbs(array_nums):
  result = sorted(array_nums, key = lambda i: 0 if i == 0 else -1 / i)
  return result ","""['assert rearrange_numbs([-1, 2, -3, 5, 7, 8, 9, -10])==[2, 5, 7, 8, 9, -10, -3, -1]', 'assert rearrange_numbs([10,15,14,13,-18,12,-20])==[10, 12, 13, 14, 15, -20, -18]', 'assert rearrange_numbs([-20,20,-10,10,-30,30])==[10, 20, 30, -30, -20, -10]']"""
16,একটি ফাংশন লিখুন যাতে আপনি খুঁজে পান যে অ্যারেতে একটি ট্রিপলেট আছে যার যোগফল একটি প্রদত্ত মানের সমান।,"def find_triplet_array(A, arr_size, sum): 
	for i in range( 0, arr_size-2): 
		for j in range(i + 1, arr_size-1): 
			for k in range(j + 1, arr_size): 
				if A[i] + A[j] + A[k] == sum: 
					return  A[i],A[j],A[k] 
					return True
	return False","""['assert find_triplet_array([1, 4, 45, 6, 10, 8], 6, 22) == (4, 10, 8)', 'assert find_triplet_array([12, 3, 5, 2, 6, 9], 6, 24) == (12, 3, 9)', 'assert find_triplet_array([1, 2, 3, 4, 5], 5, 9) == (1, 3, 5)']"""
17,একটি বড় হাতের অক্ষর এবং তারপরে ছোট হাতের অক্ষরের ক্রম খুঁজে বের করার জন্য একটি ফাংশন লিখুন।,"import re
def text_uppercase_lowercase(text):
        patterns = '[A-Z]+[a-z]+$'
        if re.search(patterns, text):
                return 'Found a match!'
        else:
                return ('Not matched!')","""['assert text_uppercase_lowercase(\""AaBbGg\"")==(\\'Found a match!\\')', 'assert text_uppercase_lowercase(\""aA\"")==(\\'Not matched!\\')', 'assert text_uppercase_lowercase(\""PYTHON\"")==(\\'Not matched!\\')']"""
18,মুদ্রা পরিবর্তনের জন্য একটি ফাংশন লিখুন।,"def coin_change(S, m, n): 
    table = [[0 for x in range(m)] for x in range(n+1)] 
    for i in range(m): 
        table[0][i] = 1
    for i in range(1, n+1): 
        for j in range(m): 
            x = table[i - S[j]][j] if i-S[j] >= 0 else 0
            y = table[i][j-1] if j >= 1 else 0 
            table[i][j] = x + y   
    return table[n][m-1] ","""['assert coin_change([1, 2, 3],3,4)==4', 'assert coin_change([4,5,6,7,8,9],6,9)==2', 'assert coin_change([4,5,6,7,8,9],6,4)==1']"""
19,একটি পাইথন ফাংশন লিখুন যাতে তালিকার সব আইটেমকে গুণ করা যায়।,"def multiply_list(items):
    tot = 1
    for x in items:
        tot *= x
    return tot","""['assert multiply_list([1,-2,3]) == -6', 'assert multiply_list([1,2,3,4]) == 24', 'assert multiply_list([3,1,2,3]) == 18']"""
20,একটি ফাংশন লিখুন যাতে প্রদত্ত টিপল তালিকায় সমস্ত শূন্য মান সহ সমস্ত টিপলগুলি সরিয়ে ফেলা যায়।,"def remove_tuple(test_list):
  res = [sub for sub in test_list if not all(ele == None for ele in sub)]
  return (str(res)) ","""[\""assert remove_tuple([(None, 2), (None, None), (3, 4), (12, 3), (None, )] ) == '[(None, 2), (3, 4), (12, 3)]'\"", \""assert remove_tuple([(None, None), (None, None), (3, 6), (17, 3), (None,1 )] ) == '[(3, 6), (17, 3), (None, 1)]'\"", \""assert remove_tuple([(1, 2), (2, None), (3, None), (24, 3), (None, None )] ) == '[(1, 2), (2, None), (3, None), (24, 3)]'\""]"""
21,একটি ফাংশন লিখুন যাতে n আকারের প্রতিটি টুপলকে চুনক করা যায়।,"def chunk_tuples(test_tup, N):
  res = [test_tup[i : i + N] for i in range(0, len(test_tup), N)]
  return (res) ","""['assert chunk_tuples((10, 4, 5, 6, 7, 6, 8, 3, 4), 3) == [(10, 4, 5), (6, 7, 6), (8, 3, 4)]', 'assert chunk_tuples((1, 2, 3, 4, 5, 6, 7, 8, 9), 2) == [(1, 2), (3, 4), (5, 6), (7, 8), (9,)]', 'assert chunk_tuples((11, 14, 16, 17, 19, 21, 22, 25), 4) == [(11, 14, 16, 17), (19, 21, 22, 25)]']"""
22,একটি প্রদত্ত পূর্ণসংখ্যা অ্যারে থেকে সর্বোচ্চ উৎপাদনের সাথে একটি জোড়া খুঁজে পেতে একটি ফাংশন লিখুন।,"def max_product(arr): 
    arr_len = len(arr) 
    if (arr_len < 2): 
        return None     
    x = arr[0]; y = arr[1]    
    for i in range(0, arr_len): 
        for j in range(i + 1, arr_len): 
            if (arr[i] * arr[j] > x * y): 
                x = arr[i]; y = arr[j] 
    return x,y   ","""['assert max_product([1, 2, 3, 4, 7, 0, 8, 4])==(7, 8)', 'assert max_product([0, -1, -2, -4, 5, 0, -6])==(-4, -6)', 'assert max_product([1, 3, 5, 6, 8, 9])==(8,9)']"""
23,একটি ফাংশন লিখুন যাতে সবচেয়ে ছোট স্ট্রিং এর দৈর্ঘ্য খুঁজে পাওয়া যায় যার মধ্যে str1 এবং str2 উভয়ই সাবসেকভেন্স হিসাবে থাকে।,"def super_seq(X, Y, m, n):
	if (not m):
		return n
	if (not n):
		return m
	if (X[m - 1] == Y[n - 1]):
		return 1 + super_seq(X, Y, m - 1, n - 1)
	return 1 + min(super_seq(X, Y, m - 1, n),	super_seq(X, Y, m, n - 1))","""['assert super_seq(\""AGGTAB\"", \""GXTXAYB\"", 6, 7) == 9', 'assert super_seq(\""feek\"", \""eke\"", 4, 3) == 5', 'assert super_seq(\""PARRT\"", \""RTA\"", 5, 3) == 6']"""
24,একটি ফাংশন লিখুন যাতে দুইটি সংখ্যার সর্বোচ্চ সংখ্যা পাওয়া যায়।,"def max_of_two( x, y ):
    if x > y:
        return x
    return y","""['assert max_of_two(10,20)==20', 'assert max_of_two(19,15)==19', 'assert max_of_two(-10,-20)==-10']"""
25,একটি প্রদত্ত টুপলের সমস্ত সংখ্যার গুণফল গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।,"def mutiple_tuple(nums):
    temp = list(nums)
    product = 1 
    for x in temp:
        product *= x
    return product","""['assert mutiple_tuple((4, 3, 2, 2, -1, 18)) == -864', 'assert mutiple_tuple((1,2,3)) == 6', 'assert mutiple_tuple((-2,-4,-6)) == -48']"""
26,n-তম rencontres সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।,"def binomial_coeffi(n, k): 
	if (k == 0 or k == n): 
		return 1
	return (binomial_coeffi(n - 1, k - 1) 
		+ binomial_coeffi(n - 1, k)) 
def rencontres_number(n, m): 
	if (n == 0 and m == 0): 
		return 1
	if (n == 1 and m == 0): 
		return 0
	if (m == 0): 
		return ((n - 1) * (rencontres_number(n - 1, 0)+ rencontres_number(n - 2, 0))) 
	return (binomial_coeffi(n, m) * rencontres_number(n - m, 0))","""['assert rencontres_number(7, 2) == 924', 'assert rencontres_number(3, 0) == 2', 'assert rencontres_number(3, 1) == 3']"""
27,প্রদত্ত বাইনারি গাছের উচ্চতা গণনা করার জন্য একটি ফাংশন লিখুন।,"class Node: 
	def __init__(self, data): 
		self.data = data 
		self.left = None
		self.right = None
def max_height(node): 
	if node is None: 
		return 0 ; 
	else : 
		left_height = max_height(node.left) 
		right_height = max_height(node.right) 
		if (left_height > right_height): 
			return left_height+1
		else: 
			return right_height+1","""['assert (max_height(root)) == 3', 'assert (max_height(root1)) == 5 ', 'assert (max_height(root2)) == 4']"""
28,একটি ফাংশন লিখুন যাতে yyyy-mm-dd ফরম্যাটের একটি তারিখ dd-mm-yyyy ফরম্যাটে রূপান্তর করা যায়।,"import re
def change_date_format(dt):
        return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)
        return change_date_format(dt)","""[\""assert change_date_format('2026-01-02')=='02-01-2026'\"", \""assert change_date_format('2021-01-04')=='04-01-2021'\"", \""assert change_date_format('2030-06-06')=='06-06-2030'\""]"""
29,একটি টুপলের পুনরাবৃত্ত আইটেম গণনা করার জন্য একটি ফাংশন লিখুন।,"def count_tuplex(tuplex,value):  
  count = tuplex.count(value)
  return count","""['assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),4)==3', 'assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),2)==2', 'assert count_tuplex((2, 4, 7, 7, 7, 3, 4, 4, 7),7)==4']"""
30,একটি ফাংশন লিখুন যা একটি স্ট্রিং এর সাথে মিলবে যার মধ্যে একটি a আছে যার পরে শূন্য বা আরও b আছে regex ব্যবহার করে।,"import re
def text_match(text):
        patterns = 'ab*?'
        if re.search(patterns,  text):
                return ('Found a match!')
        else:
                return ('Not matched!')","""['assert text_match(\""msb\"") == \\'Not matched!\\'', 'assert text_match(\""a0c\"") == \\'Found a match!\\'', 'assert text_match(\""abbc\"") == \\'Found a match!\\'']"""
31,13+23+33+....+n3 সিরিজের যোগফল গণনা করার জন্য একটি ফাংশন লিখুন।,"import math 
def sum_series(number):
 total = 0
 total = math.pow((number * (number + 1)) /2, 2)
 return total","""['assert sum_series(7)==784', 'assert sum_series(5)==225', 'assert sum_series(15)==14400']"""
32,একটি প্রদত্ত স্ট্রিং তালিকা থেকে ডুপ্লিকেট শব্দ অপসারণের জন্য একটি ফাংশন লিখুন।,"def remove_duplic_list(l):
    temp = []
    for x in l:
        if x not in temp:
            temp.append(x)
    return temp","""['assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\']', 'assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\"",\""Java\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\', \\'Java\\']', 'assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\"",\""C++\"",\""C\"",\""C++\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\',\\'C++\\',\\'C\\']']"""
33,একটি ফাংশন লিখুন যা রেজেক্স ব্যবহার করে উট কেস স্ট্রিংকে সাপ কেস স্ট্রিংয়ে রূপান্তর করে।,"import re
def camel_to_snake(text):
  str1 = re.sub('(.)([A-Z][a-z]+)', r'\1_\2', text)
  return re.sub('([a-z0-9])([A-Z])', r'\1_\2', str1).lower()","""[\""assert camel_to_snake('GoogleAssistant') == 'google_assistant'\"", \""assert camel_to_snake('ChromeCast') == 'chrome_cast'\"", \""assert camel_to_snake('QuadCore') == 'quad_core'\""]"""
